Sno,Act,Scene,Dialogue,ground_truth
1,1,3,Do you doubt that?,Neutral
2,1,3,No more but so?,surprise
3,1,3,"I shall th' effect of this good lesson keep As watchman to my heart. But, good my brother, Do not as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puff'd and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.",Anger
4,1,3,"Tis in my memory lock'd, And you yourself shall keep the key of it.",Neutral
5,1,3,"So please you, something touching the Lord Hamlet.",Disgust
6,1,3,"He hath, my lord, of late made many tenders Of his affection to me.",Neutral
7,1,3,"I do not know, my lord, what I should think,",Surprise
8,1,3,"My lord, he hath importun'd me with love In honourable fashion.",anger
9,1,3,"And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.",Disgust
10,1,3,"I shall obey, my lord.",Anger
11,2,1,"O my lord, my lord, I have been so affrighted!",fear
12,2,1,"My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbrac'd, No hat upon his head, his stockings foul'd, Ungart'red, and down-gyved to his ankle; Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosed out of hell To speak of horrors- he comes before me.",Fear
13,2,1,"My lord, I do not know, But truly I do fear it.",Fear
14,2,1,"He took me by the wrist and held me hard; Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it. Long stay'd he so. At last, a little shaking of mine arm, And thrice his head thus waving up and down, He rais'd a sigh so piteous and profound As it did seem to shatter all his bulk And end his being. That done, he lets me go, And with his head over his shoulder turn'd He seem'd to find his way without his eyes, For out o' doors he went without their help And to the last bended their light on me.",Fear
15,2,1,"No, my good lord; but, as you did command, I did repel his letters and denied His access to me.",Disgust
16,3,1,"Madam, I wish it may.",Sadness
17,3,1,"Good my lord, How does your honour for this many a day?",Surprise
18,3,1,"My lord, I have remembrances of yours That I have longed long to re-deliver. I pray you, now receive them.",sadness
19,3,1,"My honour'd lord, you know right well you did, And with them words of so sweet breath compos'd As made the things more rich. Their perfume lost, Take these again; for to the noble mind Rich gifts wax poor when givers prove unkind. There, my lord.",Anger
20,3,1,My lord?,Surprise
21,3,1,What means your lordship?,surprise
22,3,1,"Could beauty, my lord, have better commerce than with honesty?",surprise
23,3,1,"Indeed, my lord, you made me believe so.",Surprise
24,3,1,I was the more deceived.,sadness
25,3,1,"At home, my lord.",Neutral
26,3,1,"O, help him, you sweet heavens!",Anger
27,3,1,"O heavenly powers, restore him!",Anger
28,3,1,"O, what a noble mind is here o'erthrown! The courtier's, scholar's, soldier's, eye, tongue, sword, Th' expectancy and rose of the fair state, The glass of fashion and the mould of form, Th' observ'd of all observers- quite, quite down! And I, of ladies most deject and wretched, That suck'd the honey of his music vows, Now see that noble and most sovereign reason, Like sweet bells jangled, out of tune and harsh; That unmatch'd form and feature of blown youth Blasted with ecstasy. O, woe is me T' have seen what I have seen, see what I see!",Disgust
29,3,2,"No, my lord.",Fear
